Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,56.6,56.7,56.1,56.7,56.2,57,57.1,56.6,56.6,56.5,56.5,56.8
1949,56.2,56.2,56,55.7,55.4,55,55,55.1,55.3,54.9,55.6,55.3
1950,55.1,55.1,55.1,55.8,55.8,56.2,56.1,56.8,56.6,56.9,56.9,56.7
1951,56.9,57,57.7,57.3,57.6,57.1,57.6,57.4,57.1,57.3,57.1,57.7
1952,57.7,57.7,57.1,57.1,57.3,57.3,57,56.8,57.4,56.9,57.5,57.6
1953,57.8,58,58.1,57.5,57.1,57.4,57.4,57.1,56.8,56.7,56.5,55.7
1954,55.7,56.2,55.7,55.7,55.4,55.2,55,55.2,55.5,55.5,55.5,55.2
1955,55.7,55.7,55.8,56.2,56.3,56.3,56.9,57.1,57.2,57.2,57.4,57.7
1956,57.8,57.5,57.3,57.5,57.6,57.5,57.5,57.6,57.6,57.5,57.3,57.3
1957,57,57.5,57.6,57.2,57.1,57.2,57.5,56.9,57,56.8,56.4,56.6
1958,55.9,55.5,55.3,55.2,55.4,55.2,55.2,55.4,55.4,55.6,55.5,55.5
1959,55.7,55.5,56,56.3,56.2,56.3,56.3,56.1,56,56.1,55.7,56.3
1960,56,56.2,55.4,56.4,56.4,56.5,56.2,56.1,56.4,55.8,56.1,55.7
1961,55.7,55.5,55.6,55.2,55.2,55.6,55.2,55.3,55,55.3,55.5,55.3
1962,55.4,55.7,55.7,55.4,55.7,55.6,55.3,55.7,55.7,55.5,55.2,55.2
1963,55.2,55.1,55.3,55.5,55.3,55.3,55.4,55.4,55.5,55.5,55.4,55.3
1964,55.3,55.6,55.5,55.9,56.1,55.6,55.7,55.7,55.7,55.6,55.7,55.6
1965,55.7,55.7,55.9,56,56.2,56.1,56.5,56.3,56.2,56.4,56.4,56.6
1966,56.7,56.6,56.6,56.8,56.7,56.9,56.9,57,57.1,57.1,57.4,57.3
1967,57.1,57,56.8,57.1,57,57.3,57.4,57.4,57.4,57.5,57.5,57.6
1968,57,57.3,57.4,57.4,57.8,57.8,57.6,57.5,57.5,57.5,57.6,57.7
1969,57.6,57.9,57.9,57.9,57.8,58,58,58.1,58.1,58.1,58.1,58.1
1970,58,57.9,57.9,57.9,57.5,57.3,57.4,57.2,57,57,56.9,56.7
1971,56.8,56.6,56.4,56.6,56.6,56.2,56.5,56.6,56.6,56.6,56.8,56.8
1972,56.7,56.7,56.9,56.9,57,57,57,57.1,57,57,57.2,57.3
1973,57.1,57.5,57.8,57.7,57.7,58,57.9,57.8,57.9,58.1,58.2,58.2
1974,58.2,58.2,58.2,58,58,58,58,57.8,57.7,57.6,57.3,56.9
1975,56.4,56.1,56,55.9,56,55.8,56,56.1,56.1,56.1,56,56.1
1976,56.4,56.5,56.7,56.8,57,56.8,57,57,56.9,56.9,57,57
1977,57,57.2,57.4,57.6,57.8,57.9,57.8,58,58.1,58.2,58.6,58.7
1978,58.8,58.8,58.8,59.2,59.3,59.5,59.3,59.4,59.5,59.7,59.8,59.8
1979,59.9,60.1,60,59.8,59.8,59.9,60,59.8,60,59.9,60,60.1
1980,60,60,59.7,59.4,59.1,58.9,58.8,58.8,58.9,58.9,59,59
1981,59.1,59.2,59.4,59.6,59.5,59,59.1,59.1,58.7,58.8,58.6,58.2
1982,58.2,58.2,58.1,57.9,58.2,57.8,57.7,57.8,57.6,57.4,57.3,57.2
1983,57.2,57.1,57.1,57.3,57.3,57.8,58.1,58.2,58.4,58.4,58.7,58.8
1984,58.8,59.1,59.1,59.3,59.7,59.9,59.8,59.6,59.7,59.7,59.8,59.9
1985,59.9,60,60.2,60.1,60.1,59.8,59.9,60,60.3,60.3,60.4,60.4
1986,60.6,60.3,60.5,60.5,60.5,60.7,60.8,60.8,60.8,60.9,60.9,61
1987,61,61.1,61.2,61.3,61.6,61.4,61.6,61.8,61.6,61.8,61.9,62
1988,62,62.1,61.9,62.2,62,62.3,62.3,62.4,62.4,62.5,62.7,62.6
1989,62.9,62.9,62.9,62.9,62.9,63,63,63.1,62.8,62.9,63,63
1990,63.2,63.2,63.2,63,63.1,62.9,62.8,62.7,62.5,62.5,62.3,62.2
1991,62,61.9,61.8,62,61.6,61.7,61.6,61.5,61.6,61.5,61.4,61.2
1992,61.5,61.3,61.5,61.6,61.5,61.5,61.6,61.6,61.4,61.3,61.4,61.4
1993,61.4,61.4,61.5,61.5,61.7,61.8,61.8,62,61.7,61.8,61.9,62
1994,62.2,62.3,62.1,62.3,62.5,62.3,62.3,62.6,62.7,62.9,63,63.1
1995,63,63.1,63.1,63.1,62.7,62.7,62.8,62.8,62.9,62.9,62.8,62.7
1996,62.7,62.9,63,63,63,63.2,63.3,63.3,63.4,63.5,63.4,63.4
1997,63.4,63.4,63.6,63.7,63.8,63.7,63.9,63.9,63.9,63.9,64.1,64
1998,64,64,64,64.1,64.1,64,64,63.9,64.2,64.1,64.2,64.3
1999,64.4,64.2,64.2,64.2,64.3,64.2,64.2,64.2,64.2,64.3,64.4,64.4
2000,64.6,64.6,64.6,64.7,64.4,64.5,64.2,64.2,64.2,64.2,64.3,64.4
2001,64.4,64.3,64.3,64,63.8,63.7,63.7,63.2,63.5,63.2,63,62.9
2002,62.7,63,62.8,62.7,62.9,62.7,62.7,62.7,63,62.7,62.5,62.4
2003,62.5,62.5,62.4,62.4,62.3,62.3,62.1,62.1,62,62.1,62.3,62.2
2004,62.3,62.3,62.2,62.3,62.3,62.4,62.5,62.4,62.3,62.3,62.5,62.4
2005,62.4,62.4,62.4,62.7,62.8,62.7,62.8,62.9,62.8,62.8,62.7,62.8
2006,62.9,63,63.1,63,63.1,63.1,63,63.1,63.1,63.3,63.3,63.4
2007,63.3,63.3,63.3,63,63,63,62.9,62.7,62.9,62.7,62.9,62.7
2008,62.9,62.8,62.7,62.7,62.5,62.4,62.2,62,61.9,61.7,61.4,61
2009,60.6,60.3,59.9,59.8,59.6,59.4,59.3,59.1,58.7,58.5,58.6,58.3
2010,58.5,58.5,58.5,58.7,58.6,58.5,58.5,58.6,58.5,58.3,58.2,58.3
2011,58.3,58.4,58.4,58.4,58.3,58.2,58.2,58.3,58.4,58.4,58.6,58.6
2012,58.4,58.5,58.5,58.4,58.5,58.6,58.5,58.4,58.7,58.8,58.7,58.7
2013,58.6,58.6,58.5,58.6,58.6,58.6,58.7,58.7,58.7,58.3,58.6,58.7
2014,58.8,58.7,58.9,58.9,58.9,59,59,59,59.1,59.3,59.2,59.3
2015,59.3,59.2,59.2,59.3,59.4,59.4,59.3,59.4,59.2,59.3,59.4,59.6
2016,59.7,59.8,59.8,59.7,59.7,59.7,59.8,59.8,59.7,59.7,59.7,59.7
2017,59.9,60,60.2,60.2,60.1,60.1,60.2,60.1,60.4,60.1,60.1,60.1
2018,60.1,60.4,60.4,60.4,60.5,60.5,60.6,60.3,60.4,60.5,60.6,60.6
2019,60.6,60.7,60.6,60.5,60.6,60.7,60.8,60.8,61,61,61,61.1
2020,61.1,61.1,59.8,51.2,52.7,54.7,55.2,56.5,56.6,57.5,57.4,57.4
2021,57.4,57.5,57.7,57.9,58,58.1,58.4,58.6,58.8,59,59.3,59.6
2022,59.7,59.8,60.1,59.9,60,59.9,60,60.1,60.1,60,59.9,60.1
2023,60.2,60.2,60.4,60.4,60.3,60.3,60.4,60.4,60.4,60.3,60.4,60.1
2024,60.2,60.1,60.3,60.2,60.1,60.1,60,60,60.2,60,59.8,
